population,border_color,name,set_or_source,collector_number,scryfall_id,card_pk,matched_printing,census,image_url,image_w,image_h,aspect_ratio,bleed_class,prod_layout_class,placement,avg_r,avg_g,avg_b,brightness,saturation,mean_std_r,uniform,classifier_verdict,left_r,left_g,left_b,left_brightness,left_saturation,left_std_r,left_n_px,right_r,right_g,right_b,right_brightness,right_saturation,right_std_r,right_n_px,top_r,top_g,top_b,top_brightness,top_saturation,top_std_r,top_n_px,bottom_r,bottom_g,bottom_b,bottom_brightness,bottom_saturation,bottom_std_r,bottom_n_px
scryfall,gold,Jan Tomcani Bio,wc01,jt0a,006a2cce-dd8f-47d5-aedd-135e51ecfa23,,,sample,https://cards.scryfall.io/normal/front/0/0/006a2cce-dd8f-47d5-aedd-135e51ecfa23.jpg?1782754586,488,680,0.71765,trimmed,,production,167.98,137.55,78.11,127.88,89.87,6.86,True,,164.07,135.01,75.88,124.98,88.19,6.96,1022,165.39,134.69,76.28,125.45,89.11,6.03,1533,,,,,,,0,174.48,142.94,82.17,133.2,92.32,7.59,377
scryfall,gold,Jan Tomcani Bio,wc01,jt0a,006a2cce-dd8f-47d5-aedd-135e51ecfa23,,,sample,https://cards.scryfall.io/normal/front/0/0/006a2cce-dd8f-47d5-aedd-135e51ecfa23.jpg?1782754586,488,680,0.71765,trimmed,,cardspace,166.41,135.57,74.99,125.66,91.42,12.58,True,,169.54,138.25,76.83,128.21,92.71,9.13,4760,158.69,127.85,67.23,117.92,91.46,25.89,4760,165.97,135.87,76.47,126.1,89.5,7.72,3410,171.45,140.32,79.43,130.4,92.02,7.57,3410
scryfall,gold,Cloud Elemental,wc97,pm29,00d20c94-0597-4444-8b8a-8f500a2bda32,,,sample,https://cards.scryfall.io/normal/front/0/0/00d20c94-0597-4444-8b8a-8f500a2bda32.jpg?1782755448,488,680,0.71765,trimmed,,raw,167.44,136.44,75.95,126.61,91.5,10.13,True,,168.98,137.32,76.27,127.52,92.71,7.95,4760,163.51,132.13,71.53,122.39,91.98,17.25,4760,165.92,135.8,76.4,126.04,89.52,7.64,3410,171.37,140.49,79.59,130.48,91.78,7.69,3410
scryfall,gold,Cloud Elemental,wc97,pm29,00d20c94-0597-4444-8b8a-8f500a2bda32,,,sample,https://cards.scryfall.io/normal/front/0/0/00d20c94-0597-4444-8b8a-8f500a2bda32.jpg?1782755448,488,680,0.71765,trimmed,,production,167.98,137.55,78.11,127.88,89.87,6.86,True,,164.07,135.01,75.88,124.98,88.19,6.96,1022,165.39,134.69,76.28,125.45,89.11,6.03,1533,,,,,,,0,174.48,142.94,82.17,133.2,92.32,7.59,377
scryfall,gold,Cloud Elemental,wc97,pm29,00d20c94-0597-4444-8b8a-8f500a2bda32,,,sample,https://cards.scryfall.io/normal/front/0/0/00d20c94-0597-4444-8b8a-8f500a2bda32.jpg?1782755448,488,680,0.71765,trimmed,,cardspace,167.44,136.44,75.95,126.61,91.5,10.13,True,,168.98,137.32,76.27,127.52,92.71,7.95,4760,163.51,132.13,71.53,122.39,91.98,17.25,4760,165.92,135.8,76.4,126.04,89.52,7.64,3410,171.37,140.49,79.59,130.48,91.78,7.69,3410
scryfall,gold,Priest of Titania,wc00,jk270,04130251-9950-4710-9f20-3953daae9e05,,,sample,https://cards.scryfall.io/normal/front/0/4/04130251-9950-4710-9f20-3953daae9e05.jpg?1782754666,488,680,0.71765,trimmed,,raw,168.03,136.72,75.72,126.82,92.32,8.29,True,,168.83,137.28,76.09,127.4,92.74,7.51,4760,165.92,133.35,71.07,123.44,94.85,10.26,4760,165.94,135.83,76.26,126.01,89.68,7.77,3410,171.44,140.42,79.44,130.43,92.0,7.64,3410
scryfall,gold,Priest of Titania,wc00,jk270,04130251-9950-4710-9f20-3953daae9e05,,,sample,https://cards.scryfall.io/normal/front/0/4/04130251-9950-4710-9f20-3953daae9e05.jpg?1782754666,488,680,0.71765,trimmed,,production,167.98,137.55,78.11,127.88,89.87,6.86,True,,164.07,135.01,75.88,124.98,88.19,6.96,1022,165.39,134.69,76.28,125.45,89.11,6.03,1533,,,,,,,0,174.48,142.94,82.17,133.2,92.32,7.59,377
scryfall,gold,Priest of Titania,wc00,jk270,04130251-9950-4710-9f20-3953daae9e05,,,sample,https://cards.scryfall.io/normal/front/0/4/04130251-9950-4710-9f20-3953daae9e05.jpg?1782754666,488,680,0.71765,trimmed,,cardspace,168.03,136.72,75.72,126.82,92.32,8.29,True,,168.83,137.28,76.09,127.4,92.74,7.51,4760,165.92,133.35,71.07,123.44,94.85,10.26,4760,165.94,135.83,76.26,126.01,89.68,7.77,3410,171.44,140.42,79.44,130.43,92.0,7.64,3410
scryfall,gold,Survival of the Fittest,wc98,bs129,004a0178-b523-473f-8410-480e6aaec242,,,sample,https://cards.scryfall.io/normal/front/0/0/004a0178-b523-473f-8410-480e6aaec242.jpg?1782755190,488,680,0.71765,trimmed,,raw,167.96,136.54,75.87,126.79,92.09,8.75,True,,170.12,137.64,76.61,128.13,93.51,9.92,4760,164.37,132.34,71.06,122.59,93.31,9.78,4760,165.93,135.81,76.34,126.03,89.59,7.72,3410,171.42,140.38,79.46,130.42,91.96,7.59,3410
scryfall,gold,Survival of the Fittest,wc98,bs129,004a0178-b523-473f-8410-480e6aaec242,,,sample,https://cards.scryfall.io/normal/front/0/0/004a0178-b523-473f-8410-480e6aaec242.jpg?1782755190,488,680,0.71765,trimmed,,production,167.98,137.55,78.11,127.88,89.87,6.86,True,,164.07,135.01,75.88,124.98,88.19,6.96,1022,165.39,134.69,76.28,125.45,89.11,6.03,1533,,,,,,,0,174.48,142.94,82.17,133.2,92.32,7.59,377
scryfall,gold,Survival of the Fittest,wc98,bs129,004a0178-b523-473f-8410-480e6aaec242,,,sample,https://cards.scryfall.io/normal/front/0/0/004a0178-b523-473f-8410-480e6aaec242.jpg?1782755190,488,680,0.71765,trimmed,,cardspace,167.96,136.54,75.87,126.79,92.09,8.75,True,,170.12,137.64,76.61,128.13,93.51,9.92,4760,164.37,132.34,71.06,122.59,93.31,9.78,4760,165.93,135.81,76.34,126.03,89.59,7.72,3410,171.42,140.38,79.46,130.42,91.96,7.59,3410
scryfall,gold,Sphere of Resistance,wc99,js139sb,01a04ebd-aeeb-47b4-bfe0-0a8fa58624c5,,,sample,https://cards.scryfall.io/normal/front/0/1/01a04ebd-aeeb-47b4-bfe0-0a8fa58624c5.jpg?1782754833,488,680,0.71765,trimmed,,raw,167.69,136.54,75.84,126.69,91.85,8.44,True,,169.19,137.98,76.88,128.02,92.31,8.47,4760,164.24,132.01,70.73,122.32,93.51,9.99,4760,165.92,135.81,76.33,126.02,89.6,7.69,3410,171.43,140.35,79.44,130.41,91.99,7.59,3410
scryfall,gold,Sphere of Resistance,wc99,js139sb,01a04ebd-aeeb-47b4-bfe0-0a8fa58624c5,,,sample,https://cards.scryfall.io/normal/front/0/1/01a04ebd-aeeb-47b4-bfe0-0a8fa58624c5.jpg?1782754833,488,680,0.71765,trimmed,,production,167.98,137.55,78.11,127.88,89.87,6.86,True,,164.07,135.01,75.88,124.98,88.19,6.96,1022,165.39,134.69,76.28,125.45,89.11,6.03,1533,,,,,,,0,174.48,142.94,82.17,133.2,92.32,7.59,377
scryfall,gold,Sphere of Resistance,wc99,js139sb,01a04ebd-aeeb-47b4-bfe0-0a8fa58624c5,,,sample,https://cards.scryfall.io/normal/front/0/1/01a04ebd-aeeb-47b4-bfe0-0a8fa58624c5.jpg?1782754833,488,680,0.71765,trimmed,,cardspace,167.69,136.54,75.84,126.69,91.85,8.44,True,,169.19,137.98,76.88,128.02,92.31,8.47,4760,164.24,132.01,70.73,122.32,93.51,9.99,4760,165.92,135.81,76.33,126.02,89.6,7.69,3410,171.43,140.35,79.44,130.41,91.99,7.59,3410
scryfall,gold,Gabriel Nassif Bio,wc04,gn0a,06a5f33a-9357-46c5-bc3b-aba91581287e,,,sample,https://cards.scryfall.io/normal/front/0/6/06a5f33a-9357-46c5-bc3b-aba91581287e.jpg?1782754176,488,680,0.71765,trimmed,,raw,173.61,141.97,86.23,133.93,87.37,17.5,True,,173.93,146.03,90.83,136.93,83.1,20.57,4760,180.53,152.64,101.82,145.0,78.71,34.77,4760,165.65,135.97,76.33,125.99,89.32,5.35,3410,174.31,133.21,75.94,127.82,98.37,9.31,3410
scryfall,gold,Gabriel Nassif Bio,wc04,gn0a,06a5f33a-9357-46c5-bc3b-aba91581287e,,,sample,https://cards.scryfall.io/normal/front/0/6/06a5f33a-9357-46c5-bc3b-aba91581287e.jpg?1782754176,488,680,0.71765,trimmed,,production,167.87,137.36,77.93,127.72,89.94,4.54,True,,163.83,134.71,75.64,124.73,88.19,4.92,1022,165.46,134.68,76.49,125.54,88.97,3.94,1533,,,,,,,0,174.32,142.68,81.66,132.89,92.66,4.75,377
scryfall,gold,Gabriel Nassif Bio,wc04,gn0a,06a5f33a-9357-46c5-bc3b-aba91581287e,,,sample,https://cards.scryfall.io/normal/front/0/6/06a5f33a-9357-46c5-bc3b-aba91581287e.jpg?1782754176,488,680,0.71765,trimmed,,cardspace,173.61,141.97,86.23,133.93,87.37,17.5,True,,173.93,146.03,90.83,136.93,83.1,20.57,4760,180.53,152.64,101.82,145.0,78.71,34.77,4760,165.65,135.97,76.33,125.99,89.32,5.35,3410,174.31,133.21,75.94,127.82,98.37,9.31,3410
scryfall,gold,The Sphere,punk,PLA037,0381e7be-c75f-4ac9-ad21-1f10a904c771,,,sample,https://cards.scryfall.io/normal/front/0/3/0381e7be-c75f-4ac9-ad21-1f10a904c771.jpg?1782727585,488,680,0.71765,trimmed,,raw,195.69,162.09,97.3,151.69,98.39,27.64,False,borderless,232.3,199.78,119.55,183.87,112.76,4.39,4760,129.54,103.79,69.56,100.97,59.98,75.35,4760,210.26,172,100.58,160.95,109.69,15.64,3410,210.64,172.77,99.51,160.97,111.13,15.17,3410
scryfall,gold,The Sphere,punk,PLA037,0381e7be-c75f-4ac9-ad21-1f10a904c771,,,sample,https://cards.scryfall.io/normal/front/0/3/0381e7be-c75f-4ac9-ad21-1f10a904c771.jpg?1782727585,488,680,0.71765,trimmed,,production,193.71,158.32,95.17,149.07,98.55,15.14,True,,232.16,202.48,126.3,186.98,105.86,4.11,1022,178.77,138.07,85.74,134.19,93.04,9.13,1533,,,,,,,0,170.21,134.43,73.46,126.03,96.75,32.17,377
scryfall,gold,The Sphere,punk,PLA037,0381e7be-c75f-4ac9-ad21-1f10a904c771,,,sample,https://cards.scryfall.io/normal/front/0/3/0381e7be-c75f-4ac9-ad21-1f10a904c771.jpg?1782727585,488,680,0.71765,trimmed,,cardspace,195.69,162.09,97.3,151.69,98.39,27.64,False,borderless,232.3,199.78,119.55,183.87,112.76,4.39,4760,129.54,103.79,69.56,100.97,59.98,75.35,4760,210.26,172,100.58,160.95,109.69,15.64,3410,210.64,172.77,99.51,160.97,111.13,15.17,3410
scryfall,gold,Finally! Left-Handed Magic Cards,pssc,3,4c2d1022-3aaa-4139-bd11-ddc18a7c9cef,,,sample,https://cards.scryfall.io/normal/front/4/c/4c2d1022-3aaa-4139-bd11-ddc18a7c9cef.jpg?1782726141,488,680,0.71765,trimmed,,raw,220.59,193.92,134.71,183.07,85.88,11.05,True,,232.33,208.7,148.12,196.38,84.21,8.65,4760,209.39,180.36,122.96,170.9,86.43,13.24,4760,210.25,180.87,122.66,171.26,87.59,12.93,3410,230.4,205.73,145.12,193.75,85.28,9.39,3410
scryfall,gold,Finally! Left-Handed Magic Cards,pssc,3,4c2d1022-3aaa-4139-bd11-ddc18a7c9cef,,,sample,https://cards.scryfall.io/normal/front/4/c/4c2d1022-3aaa-4139-bd11-ddc18a7c9cef.jpg?1782726141,488,680,0.71765,trimmed,,production,231.7,209.5,157.56,199.59,74.15,13.04,True,,231.39,207.54,147.61,195.51,83.78,9.3,1022,214.32,189.97,142.85,182.38,71.47,26.17,1533,,,,,,,0,249.4,230.98,182.21,220.86,67.19,3.64,377
scryfall,gold,Finally! Left-Handed Magic Cards,pssc,3,4c2d1022-3aaa-4139-bd11-ddc18a7c9cef,,,sample,https://cards.scryfall.io/normal/front/4/c/4c2d1022-3aaa-4139-bd11-ddc18a7c9cef.jpg?1782726141,488,680,0.71765,trimmed,,cardspace,220.59,193.92,134.71,183.07,85.88,11.05,True,,232.33,208.7,148.12,196.38,84.21,8.65,4760,209.39,180.36,122.96,170.9,86.43,13.24,4760,210.25,180.87,122.66,171.26,87.59,12.93,3410,230.4,205.73,145.12,193.75,85.28,9.39,3410
scryfall,gold,Treasure,hho,21★,5379b994-5f9e-44ec-a69c-8d58ffb0dbd8,,,sample,https://cards.scryfall.io/normal/front/5/3/5379b994-5f9e-44ec-a69c-8d58ffb0dbd8.jpg?1782740007,488,680,0.71765,trimmed,,raw,152.75,137.63,110.5,133.63,42.25,63.68,False,borderless,171.67,153.15,117.41,147.41,54.26,70.01,4760,188.28,165.87,127.79,160.64,60.49,55.83,4760,64.25,62.83,57.73,61.6,6.52,70.88,3410,186.81,168.69,139.06,164.85,47.75,57.99,3410
scryfall,gold,Treasure,hho,21★,5379b994-5f9e-44ec-a69c-8d58ffb0dbd8,,,sample,https://cards.scryfall.io/normal/front/5/3/5379b994-5f9e-44ec-a69c-8d58ffb0dbd8.jpg?1782740007,488,680,0.71765,trimmed,,production,181.99,166.82,131.1,159.97,50.89,28.97,False,borderless,162.2,158.98,133.03,151.41,29.17,62.69,1022,247.27,234.89,187.64,223.27,59.63,9.25,1533,,,,,,,0,136.5,106.6,72.62,105.24,63.88,14.98,377
scryfall,gold,Treasure,hho,21★,5379b994-5f9e-44ec-a69c-8d58ffb0dbd8,,,sample,https://cards.scryfall.io/normal/front/5/3/5379b994-5f9e-44ec-a69c-8d58ffb0dbd8.jpg?1782740007,488,680,0.71765,trimmed,,cardspace,152.75,137.63,110.5,133.63,42.25,63.68,False,borderless,171.67,153.15,117.41,147.41,54.26,70.01,4760,188.28,165.87,127.79,160.64,60.49,55.83,4760,64.25,62.83,57.73,61.6,6.52,70.88,3410,186.81,168.69,139.06,164.85,47.75,57.99,3410
scryfall,yellow,"Hazoret, Godseeker",dft,462,05bbbcb2-822f-4729-872b-20638e7ad155,,,sample,https://cards.scryfall.io/normal/front/0/5/05bbbcb2-822f-4729-872b-20638e7ad155.jpg?1782687563,488,680,0.71765,trimmed,,raw,244.77,191.83,19.61,152.07,225.16,6.93,True,,246.0,192.62,19.37,152.67,226.62,0.94,4760,246.21,192.92,19.07,152.73,227.15,1.16,4760,246.05,192.75,19.3,152.7,226.75,1.46,3410,240.82,189.02,20.71,150.18,220.11,24.18,3410
scryfall,yellow,"Hazoret, Godseeker",dft,462,05bbbcb2-822f-4729-872b-20638e7ad155,,,sample,https://cards.scryfall.io/normal/front/0/5/05bbbcb2-822f-4729-872b-20638e7ad155.jpg?1782687563,488,680,0.71765,trimmed,,production,246,193,19,152.67,227,0.0,True,,246,193,19,152.67,227,0.0,1022,246,193,19,152.67,227,0.0,1533,,,,,,,0,246,193,19,152.67,227,0.0,377
scryfall,yellow,"Hazoret, Godseeker",dft,462,05bbbcb2-822f-4729-872b-20638e7ad155,,,sample,https://cards.scryfall.io/normal/front/0/5/05bbbcb2-822f-4729-872b-20638e7ad155.jpg?1782687563,488,680,0.71765,trimmed,,cardspace,244.77,191.83,19.61,152.07,225.16,6.93,True,,246.0,192.62,19.37,152.67,226.62,0.94,4760,246.21,192.92,19.07,152.73,227.15,1.16,4760,246.05,192.75,19.3,152.7,226.75,1.46,3410,240.82,189.02,20.71,150.18,220.11,24.18,3410
scryfall,yellow,Riverchurn Monument,dft,440,06d22866-07ac-4aef-b43e-29a37f3db1c0,,,sample,https://cards.scryfall.io/normal/front/0/6/06d22866-07ac-4aef-b43e-29a37f3db1c0.jpg?1782687580,488,680,0.71765,trimmed,,raw,245.16,192.08,19.52,152.25,225.64,6.31,True,,245.99,192.63,19.34,152.65,226.65,0.9,4760,246.38,192.8,19.26,152.81,227.12,1.24,4760,246.05,192.75,19.3,152.7,226.75,1.46,3410,242.22,190.13,20.19,150.85,222.03,21.62,3410
scryfall,yellow,Riverchurn Monument,dft,440,06d22866-07ac-4aef-b43e-29a37f3db1c0,,,sample,https://cards.scryfall.io/normal/front/0/6/06d22866-07ac-4aef-b43e-29a37f3db1c0.jpg?1782687580,488,680,0.71765,trimmed,,production,246,193,19,152.67,227,0.0,True,,246,193,19,152.67,227,0.0,1022,246,193,19,152.67,227,0.0,1533,,,,,,,0,246,193,19,152.67,227,0.0,377
scryfall,yellow,Riverchurn Monument,dft,440,06d22866-07ac-4aef-b43e-29a37f3db1c0,,,sample,https://cards.scryfall.io/normal/front/0/6/06d22866-07ac-4aef-b43e-29a37f3db1c0.jpg?1782687580,488,680,0.71765,trimmed,,cardspace,245.16,192.08,19.52,152.25,225.64,6.31,True,,245.99,192.63,19.34,152.65,226.65,0.9,4760,246.38,192.8,19.26,152.81,227.12,1.24,4760,246.05,192.75,19.3,152.7,226.75,1.46,3410,242.22,190.13,20.19,150.85,222.03,21.62,3410
scryfall,yellow,Coalstoke Gearhulk,dft,477,07cf7eba-b917-4f14-8bf4-420bb919b7e5,,,sample,https://cards.scryfall.io/normal/front/0/7/07cf7eba-b917-4f14-8bf4-420bb919b7e5.jpg?1782687553,488,680,0.71765,trimmed,,raw,245.01,192.06,19.63,152.23,225.38,6.01,True,,246.0,192.62,19.38,152.67,226.62,1.05,4760,246.08,192.96,19.25,152.76,226.82,1.06,4760,246.05,192.75,19.3,152.7,226.75,1.46,3410,241.91,189.92,20.58,150.8,221.33,20.48,3410
scryfall,yellow,Coalstoke Gearhulk,dft,477,07cf7eba-b917-4f14-8bf4-420bb919b7e5,,,sample,https://cards.scryfall.io/normal/front/0/7/07cf7eba-b917-4f14-8bf4-420bb919b7e5.jpg?1782687553,488,680,0.71765,trimmed,,production,246,193,19,152.67,227,0.0,True,,246,193,19,152.67,227,0.0,1022,246,193,19,152.67,227,0.0,1533,,,,,,,0,246,193,19,152.67,227,0.0,377
scryfall,yellow,Coalstoke Gearhulk,dft,477,07cf7eba-b917-4f14-8bf4-420bb919b7e5,,,sample,https://cards.scryfall.io/normal/front/0/7/07cf7eba-b917-4f14-8bf4-420bb919b7e5.jpg?1782687553,488,680,0.71765,trimmed,,cardspace,245.01,192.06,19.63,152.23,225.38,6.01,True,,246.0,192.62,19.38,152.67,226.62,1.05,4760,246.08,192.96,19.25,152.76,226.82,1.06,4760,246.05,192.75,19.3,152.7,226.75,1.46,3410,241.91,189.92,20.58,150.8,221.33,20.48,3410
scryfall,yellow,Mindspring Merfolk,dft,436,09e15402-8cc6-4ad2-8088-4df92fa20d8e,,,sample,https://cards.scryfall.io/normal/front/0/9/09e15402-8cc6-4ad2-8088-4df92fa20d8e.jpg?1782687583,488,680,0.71765,trimmed,,raw,244.72,191.79,19.69,152.07,225.03,7.02,True,,246.0,192.63,19.33,152.65,226.66,1.0,4760,246.23,192.9,19.12,152.75,227.1,1.13,4760,246.05,192.75,19.3,152.7,226.75,1.46,3410,240.6,188.89,21.01,150.17,219.59,24.47,3410
scryfall,yellow,Mindspring Merfolk,dft,436,09e15402-8cc6-4ad2-8088-4df92fa20d8e,,,sample,https://cards.scryfall.io/normal/front/0/9/09e15402-8cc6-4ad2-8088-4df92fa20d8e.jpg?1782687583,488,680,0.71765,trimmed,,production,246,193,19,152.67,227,0.0,True,,246,193,19,152.67,227,0.0,1022,246,193,19,152.67,227,0.0,1533,,,,,,,0,246,193,19,152.67,227,0.0,377
scryfall,yellow,Mindspring Merfolk,dft,436,09e15402-8cc6-4ad2-8088-4df92fa20d8e,,,sample,https://cards.scryfall.io/normal/front/0/9/09e15402-8cc6-4ad2-8088-4df92fa20d8e.jpg?1782687583,488,680,0.71765,trimmed,,cardspace,244.72,191.79,19.69,152.07,225.03,7.02,True,,246.0,192.63,19.33,152.65,226.66,1.0,4760,246.23,192.9,19.12,152.75,227.1,1.13,4760,246.05,192.75,19.3,152.7,226.75,1.46,3410,240.6,188.89,21.01,150.17,219.59,24.47,3410
scryfall,yellow,"Daretti, Rocketeer Engineer",dft,458,0a17ef59-177c-4c39-8cbb-efa8ab7ac24a,,,sample,https://cards.scryfall.io/normal/front/0/a/0a17ef59-177c-4c39-8cbb-efa8ab7ac24a.jpg?1782687567,488,680,0.71765,trimmed,,raw,244.73,191.82,19.68,152.08,225.05,6.95,True,,245.98,192.64,19.37,152.66,226.6,1.05,4760,246.16,192.91,19.21,152.76,226.95,1.09,4760,246.05,192.75,19.3,152.7,226.75,1.46,3410,240.75,188.99,20.84,150.19,219.91,24.19,3410
scryfall,yellow,"Daretti, Rocketeer Engineer",dft,458,0a17ef59-177c-4c39-8cbb-efa8ab7ac24a,,,sample,https://cards.scryfall.io/normal/front/0/a/0a17ef59-177c-4c39-8cbb-efa8ab7ac24a.jpg?1782687567,488,680,0.71765,trimmed,,production,246,193,19,152.67,227,0.0,True,,246,193,19,152.67,227,0.0,1022,246,193,19,152.67,227,0.0,1533,,,,,,,0,246,193,19,152.67,227,0.0,377
scryfall,yellow,"Daretti, Rocketeer Engineer",dft,458,0a17ef59-177c-4c39-8cbb-efa8ab7ac24a,,,sample,https://cards.scryfall.io/normal/front/0/a/0a17ef59-177c-4c39-8cbb-efa8ab7ac24a.jpg?1782687567,488,680,0.71765,trimmed,,cardspace,244.73,191.82,19.68,152.08,225.05,6.95,True,,245.98,192.64,19.37,152.66,226.6,1.05,4760,246.16,192.91,19.21,152.76,226.95,1.09,4760,246.05,192.75,19.3,152.7,226.75,1.46,3410,240.75,188.99,20.84,150.19,219.91,24.19,3410
